L,p,decoder,weight,n_runs,n_fails,p_log
16,0.1468749999999999,unified,1.1,225250,25839.0,0.11471254162042176
16,0.1475,unified,1.1,225250,26583.0,0.11801553829078801
16,0.148125,unified,1.1,225250,26867.0,0.11927635960044396
16,0.14875,unified,1.1,225250,27189.0,0.12070588235294118
16,0.1493749999999999,unified,1.1,225250,27379.0,0.12154938956714761
16,0.15,unified,1.1,225250,27916.0,0.12393340732519423
16,0.150625,unified,1.1,225250,28413.0,0.12613984461709213
16,0.15125,unified,1.1,225250,28615.0,0.12703662597114318
16,0.1518749999999999,unified,1.1,225250,29251.0,0.12986015538290788
16,0.1525,unified,1.1,225250,29691.0,0.13181354051054384
16,0.153125,unified,1.1,225250,29859.0,0.1325593784683685
16,0.15375,unified,1.1,225250,30027.0,0.1333052164261931
16,0.1543749999999999,unified,1.1,225250,31057.0,0.13787791342952274
16,0.155,unified,1.1,225250,31077.0,0.1379667036625971
16,0.155625,unified,1.1,225250,31101.0,0.13807325194228634
16,0.15625,unified,1.1,225250,31638.0,0.14045726970033295
16,0.156875,unified,1.1,225250,32331.0,0.1435338512763596
16,0.1575,unified,1.1,225250,32684.0,0.1451009988901221
16,0.158125,unified,1.1,225250,33403.0,0.1482930077691454
16,0.15875,unified,1.1,225250,33609.0,0.14920754716981133
16,0.159375,unified,1.1,225250,34128.0,0.151511653718091
16,0.16,unified,1.1,225250,34421.0,0.15281243063263042
18,0.145,unified,1.1,240000,26335.0,0.10972916666666667
18,0.145625,unified,1.1,240000,26964.0,0.11235
18,0.14625,unified,1.1,240000,27332.0,0.11388333333333334
18,0.1468749999999999,unified,1.1,240000,27767.0,0.11569583333333333
18,0.1475,unified,1.1,240000,28074.0,0.116975
18,0.148125,unified,1.1,240000,28644.0,0.11935
18,0.14875,unified,1.1,240000,29348.0,0.12228333333333333
18,0.1493749999999999,unified,1.1,240000,29148.0,0.12145
18,0.15,unified,1.1,240000,29802.0,0.124175
18,0.150625,unified,1.1,240000,29989.0,0.12495416666666667
18,0.15125,unified,1.1,240000,30724.0,0.12801666666666667
18,0.1518749999999999,unified,1.1,240000,31210.0,0.13004166666666667
18,0.1525,unified,1.1,240000,31542.0,0.131425
18,0.153125,unified,1.1,240000,32141.0,0.13392083333333332
18,0.15375,unified,1.1,240000,32319.0,0.1346625
18,0.1543749999999999,unified,1.1,240000,32967.0,0.1373625
18,0.155,unified,1.1,240000,33512.0,0.13963333333333333
18,0.155625,unified,1.1,240000,33959.0,0.14149583333333332
18,0.15625,unified,1.1,240000,34420.0,0.14341666666666666
18,0.156875,unified,1.1,240000,34875.0,0.1453125
18,0.1575,unified,1.1,240000,35539.0,0.14807916666666668
18,0.158125,unified,1.1,240000,35717.0,0.14882083333333335
18,0.15875,unified,1.1,240000,36607.0,0.15252916666666666
18,0.159375,unified,1.1,240000,36970.0,0.15404166666666666
18,0.16,unified,1.1,240000,37396.0,0.15581666666666666
20,0.135,unified,1.0,27500,2107.0,0.07661818181818182
20,0.135,unified,1.8,118500,9609.0,0.0810886075949367
20,0.135,unified,2.1,60000,5758.0,0.09596666666666667
20,0.1359090909090909,unified,1.0,27500,2161.0,0.07858181818181818
20,0.1359090909090909,unified,1.8,118500,9924.0,0.08374683544303797
20,0.1359090909090909,unified,2.1,60000,5852.0,0.09753333333333333
20,0.1368181818181818,unified,1.0,27500,2296.0,0.08349090909090909
20,0.1368181818181818,unified,1.8,118500,10224.0,0.08627848101265823
20,0.1368181818181818,unified,2.1,60000,6083.0,0.10138333333333334
20,0.1377272727272727,unified,1.0,27500,2426.0,0.08821818181818182
20,0.1377272727272727,unified,1.8,118500,10431.0,0.08802531645569621
20,0.1377272727272727,unified,2.1,60000,6149.0,0.10248333333333333
20,0.1386363636363636,unified,1.0,27500,2444.0,0.08887272727272727
20,0.1386363636363636,unified,1.8,118500,10836.0,0.09144303797468355
20,0.1386363636363636,unified,2.1,60000,6278.0,0.10463333333333333
20,0.1395454545454545,unified,1.0,27500,2537.0,0.09225454545454545
20,0.1395454545454545,unified,1.8,118500,10995.0,0.09278481012658228
20,0.1395454545454545,unified,2.1,60000,6482.0,0.10803333333333333
20,0.1404545454545454,unified,1.0,27500,2542.0,0.09243636363636364
20,0.1404545454545454,unified,1.8,118500,11461.0,0.09671729957805907
20,0.1404545454545454,unified,2.1,60000,6601.0,0.11001666666666667
20,0.1413636363636363,unified,1.0,27500,2580.0,0.09381818181818181
20,0.1413636363636363,unified,1.8,118500,11685.0,0.09860759493670886
20,0.1413636363636363,unified,2.1,60000,6875.0,0.11458333333333333
20,0.1422727272727272,unified,1.0,27500,2590.0,0.09418181818181819
20,0.1422727272727272,unified,1.8,118500,12079.0,0.10193248945147679
20,0.1422727272727272,unified,2.1,60000,7109.0,0.11848333333333333
20,0.1431818181818182,unified,1.0,27500,2777.0,0.10098181818181819
20,0.1431818181818182,unified,1.8,118500,12298.0,0.10378059071729957
20,0.1431818181818182,unified,2.1,60000,7158.0,0.1193
20,0.144090909090909,unified,1.0,27500,2858.0,0.10392727272727273
20,0.144090909090909,unified,1.8,118500,12732.0,0.10744303797468355
20,0.144090909090909,unified,2.1,60000,7377.0,0.12295
20,0.145,unified,1.0,27500,2948.0,0.1072
20,0.145,unified,1.1,60000,6535.0,0.10891666666666666
20,0.145,unified,1.8,118500,13202.0,0.11140928270042194
20,0.145,unified,2.1,99500,12515.0,0.12577889447236182
20,0.145625,unified,1.1,60000,6615.0,0.11025
20,0.145625,unified,1.8,57000,6509.0,0.11419298245614035
20,0.145625,unified,2.1,39500,5211.0,0.1319240506329114
20,0.14625,unified,1.1,60000,6703.0,0.11171666666666667
20,0.14625,unified,1.8,57000,6454.0,0.1132280701754386
20,0.14625,unified,2.1,39500,5181.0,0.1311645569620253
20,0.1468749999999999,unified,1.1,60000,6825.0,0.11375
20,0.1468749999999999,unified,2.1,39500,5235.0,0.13253164556962024
20,0.146875,unified,1.8,57000,6663.0,0.11689473684210526
20,0.1475,unified,1.1,60000,7007.0,0.11678333333333334
20,0.1475,unified,1.8,57000,6649.0,0.11664912280701754
20,0.1475,unified,2.1,39500,5296.0,0.1340759493670886
20,0.148125,unified,1.1,60000,7025.0,0.11708333333333333
20,0.148125,unified,1.8,57000,6703.0,0.11759649122807017
20,0.148125,unified,2.1,39500,5394.0,0.13655696202531645
20,0.14875,unified,1.1,60000,7164.0,0.1194
20,0.14875,unified,1.8,57000,6973.0,0.12233333333333334
20,0.14875,unified,2.1,39500,5534.0,0.14010126582278482
20,0.1493749999999999,unified,1.1,60000,7313.0,0.12188333333333333
20,0.1493749999999999,unified,2.1,39500,5626.0,0.14243037974683545
20,0.149375,unified,1.8,57000,6927.0,0.12152631578947369
20,0.15,unified,1.1,60000,7309.0,0.12181666666666667
20,0.15,unified,1.8,57000,7169.0,0.1257719298245614
20,0.15,unified,2.1,39500,5676.0,0.14369620253164556
20,0.150625,unified,1.1,60000,7580.0,0.12633333333333333
20,0.150625,unified,1.8,57000,7362.0,0.1291578947368421
20,0.150625,unified,2.1,39500,5782.0,0.14637974683544303
20,0.15125,unified,1.1,60000,7706.0,0.12843333333333334
20,0.15125,unified,1.8,57000,7312.0,0.12828070175438597
20,0.15125,unified,2.1,39500,5874.0,0.14870886075949366
20,0.1518749999999999,unified,1.1,60000,7879.0,0.13131666666666666
