L,p,decoder,weight,n_runs,n_fails,p_log
20,0.145,unified,0.9,60000,6061.0,0.10101666666666667
20,0.145,unified,1.0,30000,3192.0,0.1064
20,0.145,unified,1.1,60000,6357.0,0.10595
20,0.145,unified,1.5,50000,5325.0,0.1065
20,0.145,unified,2.0,60000,6899.0,0.11498333333333334
20,0.145625,unified,0.1,50000,5386.0,0.10772
20,0.145625,unified,0.3,48000,5074.0,0.10570833333333333
20,0.145625,unified,0.5,45000,4739.0,0.1053111111111111
20,0.145625,unified,0.7,60000,6159.0,0.10265
20,0.145625,unified,0.9,60000,6225.0,0.10375
20,0.145625,unified,1.0,30000,3156.0,0.1052
20,0.145625,unified,1.1,60000,6617.0,0.11028333333333333
20,0.145625,unified,1.5,50000,5493.0,0.10986
20,0.145625,unified,2.0,60000,7105.0,0.11841666666666667
20,0.14625,unified,0.1,50000,5496.0,0.10992
20,0.14625,unified,0.3,48000,5323.0,0.11089583333333333
20,0.14625,unified,0.5,45000,4869.0,0.1082
20,0.14625,unified,0.7,60000,6329.0,0.10548333333333333
20,0.14625,unified,0.9,60000,6521.0,0.10868333333333334
20,0.14625,unified,1.0,30000,3240.0,0.108
20,0.14625,unified,1.1,60000,6705.0,0.11175
20,0.14625,unified,1.5,50000,5627.0,0.11254
20,0.14625,unified,2.0,60000,7295.0,0.12158333333333333
20,0.1468749999999999,unified,0.1,50000,5528.0,0.11056
20,0.1468749999999999,unified,0.3,48000,5397.0,0.1124375
20,0.1468749999999999,unified,0.5,45000,5031.0,0.1118
20,0.1468749999999999,unified,0.7,60000,6514.0,0.10856666666666667
20,0.1468749999999999,unified,0.9,60000,6484.0,0.10806666666666667
20,0.1468749999999999,unified,1.0,30000,3303.0,0.1101
20,0.1468749999999999,unified,1.1,60000,6719.0,0.11198333333333334
20,0.1468749999999999,unified,1.5,50000,5685.0,0.1137
20,0.1468749999999999,unified,2.0,60000,7305.0,0.12175
20,0.1475,unified,0.1,50000,5576.0,0.11152
20,0.1475,unified,0.3,48000,5479.0,0.11414583333333334
20,0.1475,unified,0.5,45000,5062.0,0.11248888888888889
20,0.1475,unified,0.7,60000,6647.0,0.11078333333333333
20,0.1475,unified,0.9,60000,6595.0,0.10991666666666666
20,0.1475,unified,1.0,30000,3342.0,0.1114
20,0.1475,unified,1.1,60000,6794.0,0.11323333333333334
20,0.1475,unified,1.5,50000,5757.0,0.11514
20,0.1475,unified,2.0,60000,7375.0,0.12291666666666666
20,0.148125,unified,0.1,50000,5851.0,0.11702
20,0.148125,unified,0.3,48000,5497.0,0.11452083333333334
20,0.148125,unified,0.5,45000,5137.0,0.11415555555555555
20,0.148125,unified,0.7,60000,6781.0,0.11301666666666667
20,0.148125,unified,0.9,60000,6693.0,0.11155
20,0.148125,unified,1.0,30000,3306.0,0.1102
20,0.148125,unified,1.1,60000,7007.0,0.11678333333333334
20,0.148125,unified,1.5,50000,5798.0,0.11596
20,0.148125,unified,2.0,60000,7489.0,0.12481666666666667
20,0.14875,unified,0.1,50000,5928.0,0.11856
20,0.14875,unified,0.3,48000,5587.0,0.11639583333333334
20,0.14875,unified,0.5,45000,5201.0,0.11557777777777778
20,0.14875,unified,0.7,60000,6742.0,0.11236666666666667
20,0.14875,unified,0.9,60000,6812.0,0.11353333333333333
20,0.14875,unified,1.0,30000,3390.0,0.113
20,0.14875,unified,1.1,60000,7179.0,0.11965
20,0.14875,unified,1.5,50000,5973.0,0.11946
20,0.14875,unified,2.0,60000,7643.0,0.12738333333333332
20,0.1493749999999999,unified,0.1,50000,5994.0,0.11988
20,0.1493749999999999,unified,0.3,48000,5671.0,0.11814583333333334
20,0.1493749999999999,unified,0.5,45000,5285.0,0.11744444444444445
20,0.1493749999999999,unified,0.7,60000,7076.0,0.11793333333333333
20,0.1493749999999999,unified,0.9,60000,6768.0,0.1128
20,0.1493749999999999,unified,1.0,30000,3590.0,0.11966666666666667
20,0.1493749999999999,unified,1.1,60000,7244.0,0.12073333333333333
20,0.1493749999999999,unified,1.5,50000,6050.0,0.121
20,0.1493749999999999,unified,2.0,60000,7573.0,0.12621666666666667
20,0.15,unified,0.1,50000,5976.0,0.11952
20,0.15,unified,0.3,48000,5756.0,0.11991666666666667
20,0.15,unified,0.5,45000,5372.0,0.11937777777777778
20,0.15,unified,0.7,60000,7169.0,0.11948333333333333
20,0.15,unified,0.9,60000,6922.0,0.11536666666666667
20,0.15,unified,1.0,30000,3538.0,0.11793333333333333
20,0.15,unified,1.1,60000,7308.0,0.1218
20,0.15,unified,1.5,50000,6086.0,0.12172
20,0.15,unified,2.0,60000,7842.0,0.1307
20,0.150625,unified,0.1,50000,6206.0,0.12412
20,0.150625,unified,0.3,48000,5920.0,0.12333333333333334
20,0.150625,unified,0.5,45000,5360.0,0.11911111111111111
20,0.150625,unified,0.7,60000,7209.0,0.12015
20,0.150625,unified,0.9,60000,7160.0,0.11933333333333333
20,0.150625,unified,1.0,30000,3619.0,0.12063333333333333
20,0.150625,unified,1.1,60000,7422.0,0.1237
20,0.150625,unified,1.5,50000,6259.0,0.12518
20,0.150625,unified,2.0,60000,7909.0,0.13181666666666667
20,0.15125,unified,0.1,50000,6242.0,0.12484
20,0.15125,unified,0.3,48000,6042.0,0.125875
20,0.15125,unified,0.5,45000,5426.0,0.12057777777777778
20,0.15125,unified,0.7,60000,7276.0,0.12126666666666666
20,0.15125,unified,0.9,60000,7364.0,0.12273333333333333
20,0.15125,unified,1.0,30000,3627.0,0.1209
20,0.15125,unified,1.1,60000,7555.0,0.12591666666666668
20,0.15125,unified,1.5,50000,6359.0,0.12718
20,0.15125,unified,2.0,60000,8093.0,0.13488333333333333
20,0.1518749999999999,unified,0.1,50000,6321.0,0.12642
20,0.1518749999999999,unified,0.3,48000,6204.0,0.12925
20,0.1518749999999999,unified,0.5,45000,5752.0,0.12782222222222223
20,0.1518749999999999,unified,0.7,60000,7405.0,0.12341666666666666
20,0.1518749999999999,unified,0.9,60000,7507.0,0.12511666666666665
20,0.1518749999999999,unified,1.0,30000,3788.0,0.12626666666666667
20,0.1518749999999999,unified,1.1,60000,7648.0,0.12746666666666667
20,0.1518749999999999,unified,1.5,50000,6540.0,0.1308
20,0.1518749999999999,unified,2.0,60000,8235.0,0.13725
20,0.1525,unified,0.1,50000,6484.0,0.12968
20,0.1525,unified,0.3,48000,6156.0,0.12825
20,0.1525,unified,0.5,45000,5745.0,0.12766666666666668
20,0.1525,unified,0.7,60000,7470.0,0.1245
20,0.1525,unified,0.9,60000,7590.0,0.1265
20,0.1525,unified,1.0,30000,3876.0,0.1292
20,0.1525,unified,1.1,60000,7877.0,0.13128333333333334
20,0.1525,unified,1.5,50000,6586.0,0.13172
20,0.1525,unified,2.0,60000,8422.0,0.14036666666666667
20,0.153125,unified,0.1,50000,6409.0,0.12818
20,0.153125,unified,0.3,48000,6207.0,0.1293125
20,0.153125,unified,0.5,45000,5925.0,0.13166666666666665
20,0.153125,unified,0.7,60000,7773.0,0.12955
20,0.153125,unified,0.9,60000,7697.0,0.12828333333333333
