L,p,decoder,p_log
10,0.0046499500625042,unified,2.9747545995197168e-08
10,0.0063397626010839,unified,1.378163007319962e-07
10,0.0086436605335189,unified,6.731249073417774e-07
10,0.0117848052237697,unified,3.5865553205075453e-06
10,0.0160674558682198,unified,1.83703365823187e-05
10,0.0219064408087527,unified,9.56698959865668e-05
10,0.0298673388521065,unified,0.0005308055204183
10,0.0392505520957394,unified,0.0023498936738084
10,0.05,unified,0.008507
12,4.023068318633698e-06,unified,4.819770137391257e-28
12,5.338907405568713e-06,unified,2.632574092924475e-27
12,7.085122604857195e-06,unified,1.438663561669749e-26
12,9.402478543362396e-06,unified,7.862750211735792e-26
12,1.2477780228924084e-05,unified,4.2939418260734585e-25
12,1.655893163949206e-05,unified,2.3443497139139637e-24
12,2.197491957790431e-05,unified,1.2803137323707798e-23
12,2.916233371624541e-05,unified,6.988808138271691e-23
12,3.870056064427099e-05,unified,3.811902566885063e-22
12,5.1358488958877705e-05,unified,2.079982809201613e-21
12,6.81564903512485e-05,unified,1.1347558743645863e-20
12,9.044867306589348e-05,unified,6.18374169638215e-20
12,0.0001200320382874,unified,3.3725012267663873e-19
12,0.0001592913386904,unified,1.8386482752853512e-18
12,0.0002113913163837,unified,1.0018392466654517e-17
12,0.0002805318167943,unified,5.4648920481613895e-17
12,0.0003722863435462,unified,2.98789427799526e-16
12,0.0004940513456719,unified,1.637175399575286e-15
12,0.0006556424547706,unified,8.921613940994512e-15
12,0.0008700857355485,unified,4.806504846883981e-14
12,0.0011546677334521,unified,2.56539535625964e-13
12,0.0015323289650702,unified,1.407632518556172e-12
12,0.0020335131823362,unified,8.170689401893377e-12
12,0.0026986214820691,unified,4.623459424408171e-11
12,0.0035812690897425,unified,2.6230186701365545e-10
12,0.004752607350962,unified,1.6409937035017735e-09
12,0.0063070593318755,unified,1.0061346230270618e-08
12,0.0083699313825591,unified,5.8540373568540025e-08
12,0.0111075142411758,unified,3.423790963400499e-07
12,0.0147404879417542,unified,2.0716998592555753e-06
12,0.0195617111122425,unified,1.2471537345270228e-05
12,0.0257877927372537,unified,7.154624558054975e-05
12,0.0329314249300745,unified,0.00035083563074185
12,0.0410001426069543,unified,0.0014587106954075
12,0.05,unified,0.0051
14,9.043121723205755e-06,unified,4.241403603691636e-30
14,1.1751600534024718e-05,unified,2.653749048427131e-29
14,1.527128787362314e-05,unified,1.6596626101220644e-28
14,1.9845146424424794e-05,unified,1.038078751772077e-27
14,2.5788907907832097e-05,unified,6.491735214768168e-27
14,3.351286792523233e-05,unified,4.0593400324655056e-26
14,4.3550208507781626e-05,unified,2.5375722991120287e-25
14,5.659380346983856e-05,unified,1.5863237752578166e-24
14,7.354404722563886e-05,unified,9.935293641447291e-24
14,9.557100867428992e-05,unified,6.223333907072748e-23
14,0.0001241952006121,unified,3.884864800458587e-22
14,0.0001613925401548,unified,2.423349082551919e-21
14,0.000209730745546,unified,1.5803138339888448e-20
14,0.0002725465847745,unified,1.0352242266919872e-19
14,0.0003541762114031,unified,6.466610539137887e-19
14,0.000460254487605,unified,4.017116443280644e-18
